‾	siqisqa, takay, vinculum
≧	kuraqnin kikin chimpupi, mana kikin, matematicas
≪	aswan pisin, mana kikin, matematicas
≫	aswan kuraqnin, mana kikin, matematicas
≬	kaypura
≳	kikin kuraqnin, mana kikin, matematicas
≺	huñu llamkaq, matematicas, ñawpaqman
≻	huñu llamkaq, matematicas, qipaman
⊁	huñu llamkaq, manam qipaman kanchu, matematicas
⊂	huñu, sullka huñu, sullka huñu kaymanta
⊃	hatun huñu, huñu llamkaq, matematicas
⊆	uchuy huñu kikin chimpuwan
⊇	hatun huñu kikin chimpuwan, kikinkaq, matematicas
⊕	muyupi yapana, yapana
⊖	erosion, kikin puchu, muyupi qichuna
⊗	muyupi mirana, ruru, tensor
⊘	matematicas, muyupi rakina warra, rakina hina
⊙	muyupi chusu llamkaq
⊚	muyupi siwi llamkaq
⊛	asterisku, llamkaq, muyupi asterisku llamkaq
⊞	matematicas, tawakuchupi yapana, yapana hina
⊟	matematicas, qichuna hina, tawakuchupi qichuna
⊥	eet, falsum, hanaqman tachuela, tachuela
⊮	manam kallpa kanchu
⊰	huñu llamkaq, matematicas, ñawpaqman tinkuywan
⊱	huñu llamkaq, matematica, qipaman tinkuywan
⋭	huñu teoria, manam kaqlla hina ichuy huñu kikinwan tiyanchu, manam kaqlla hina uchuy huñu kikinwan tiyanchu, matematicas
⊶	kikinchay
⊹	ermitaño muyuchiy sapin, kikin huñusqa sapin, matematicas, tawakuchusqapa sapin
⊿	matematicas, paña kimsa kuchu, paña kimsa kuchuwan
⋁	disyuncion, logico, n-ary logico utaq
⋂	huñu llamkaq, interseccion, matematicas, n-ary interseccion
⋃	huñu llamkaq, matematicas, n-ary tinkiy, tinkiy
⋅	chusu llamkaq, llamkaq
⋆	llamkaq, quyllur llamkaq
⋈	iskaychasqa llamkaq, kawsaq tikuy, kawsaq tinkuy, moñowan corbata
⋒	huñu llamkaq, iskay tinkuy, matematicas, tinkuy
⋘	ancha aswan pisin, mana kikin, matematicas
⋙	ancha aswan kuraqnin, mana kikin, matematicas
⋮	elipsis, matematicas, sayampa kimsa qatipasqa chusukuna
⋯	chawpipi kinrampa kimsa qatipasqa chusukuna, elipsis
⋰	elipsis, hanaq pañaman siqi kimsa qatipasqa chusukuna, matematicas
⋱	elipsis, matematicas, sa qatipasqa chusukuna, uran pañaman siqi kimsa qatipasqa chusukuna
■	huntasqa tawakuchu
□	ukunwan tawakuchu
▢	ukunwan tawakuchu muyusqa kuchukunawan
▣	ukunwan tawakuchu huntasqa tawakuchuyuqwan
▤	tawakuchu kinrampawan huntasqa
▥	tawakuchu sayampawan huntasqa
▦	tawakuchu pusaq chakanawan huntasqa
▧	tawakuchu siqikunawan ukun lluqiman
▨	tawakuchu siqikunawan ukun pañaman
▩	tawakuchu huntasqa chiqa siqikunawan
▬	huntasqa saytu
▭	chusaq saytu
▮	huntasqa sayampa saytu
▰	huntasqa paralelogramo
▲	hanaq, huntasqa, huntasqa hanaqman ñawpiwan kimsakuchu, kimsakuchu, wachi
△	chusaq kimsakuchu ñawpi hanaqman
▴	huntasqa uchuy kimsakuchu ñawpi hanaqman
▵	chusaq uchuy kimsakuchu ñawpi hanaqman
▷	chusaq kimsakuchu ñawpi pañaman
▸	huntasqa uchuy kimsakuchu ñawpi pañaman
▹	chusaq uchuy kimsakuchu ñawpi pañaman, huntasqa uchuy kimsakuchu ñawpi pañaman
►	huntasqa ñawpi pañaman
▻	chusaq ñawpi pañaman
▼	huntasqa, huntasqa uranman ñawpiwan kimsakuchu, kimsakuchu, uran, wachi
▽	chusaq kimsakuchu ñawpi uranman
▾	huntasqa uchuy kimsakuchu ñawpi uranman
▿	chusaq uchuy kimsakuchu ñawpi uranman
◁	chusaq kimsakuchu ñawpi lluqiman
◂	huntasqa uchuy kimsakuchu ñawpi lluqiman
◃	chusaq uchuy kimsakuchu ñawpi lluqiman
◄	huntasqa ñawpi lluqiman
◅	chusaq ñawpi lluqiman
◆	huntasqa puytu
◇	chusaq puytu
◈	chusaq puytu huntasqa puytuwan
◉	chusaq muyu huntasqa muyuwan, concentricu huntasqa muyukuna, muyusqa chusu, ojo de pez
◊	puytu, rumbu
○	chusaq muyu, muyu, siwi
◌	chusuwan muyu
◍	muyu sayampa siqiwan
◎	concentruku muyukuna, concetriku muyukuna, iskay muyu, objetivo
●	huntasqa muyu, muyu
◐	muyu kuska chusaq huntasqa lluqipi
◑	muyu kuska chusaq huntasqa pañapi
◒	muyu kuska chusaq huntasqa uranpi
◓	muyu kuska chusaq huntasqa hanaqpi
◔	muyu huntasqa hanaq pañaman
◕	llapan huntasqa muyu ichaqa chusaq hanaq lluqiman
◖	lluqi kusqa muyupi huntasqa
◗	paña kusqa muyupi huntasqa
◘	tikrasqa siqichana yupi
◙	ukun tawakuchupi huntasqa muyuwan
◜	hanaq lluqipi muyusqa siqi
◝	hanaq pañapi muyusqa siqi
◞	uran pañapi muyusqa siqi
◟	uran lluqipi muyusqa siqi
◠	hanaqpi kuska muyu
◡	uranpi kuska muyu
◢	uran pañaman huntasqa kimsakuchu
◣	uran lluqiman huntasqa kimsakuchu
◤	hanaq lluqiman huntasqa kimsakuchu
◥	hanaq pañaman huntasqa kimsakuchu
◦	chusaq siqichana yupi
◯	hatun chusaq muyu, muyu, siwi
◳	chusaq tawakuchu hanaq pañaman
◷	chusaq muyu hanaq pañaman
◿	uran pachaman kimsakuchu
♪	pusaqñiqi, takiy, uchuy willakuy
⨧	yapana sullkapi iskay qillqasqa
⨯	vector mirana ruruwan
⨼	ukun ruru
⩣	logico utaq iskay warra uranpi
⩽	pisinman kikinwan
⪍	pisin hanaqpi kikinwan
⪚	iskay siqi kikin kuraqninwan
⪺	sami hanaqpi manaraq yaqa kikin
♭	bemol, panpa, takiy, uchuy willakuy
♯	agudu, diesis, dièse, takiy, uchuy willakuy
😀	kusi, kusisqa uya, uya
😃	kichay, kusi, kusisqa uya hatun ñawikunawan, simi, uya
😄	kichay, kusi, kusisqa uya kusisqa ñawikunawan, simi, uya, ñawi
😁	asiy, kancharisqa uya kusisqa ñawikunawan, kusi, kʼancharisqa uya kusisqa ñawikunawan, uya, ñawi
😆	asisqa, asiy, kusisqa uya wichqasqa ñawikunawan, munasqa, simi, uya
😅	asiy, chiri, kichay, kusisqa uya sutʼuwan, sutʼu, uya
🤣	hallpʼa, kusi, muyusqa, muyusqa kusi hallpʼapi, muyusqa kusi jallpʼapi, uya
😂	kusi, kusisqa, kusisqa uya wiqikunawan, uya, wiqi
🙂	kusi, pisi kusisqa uya, uya
🙃	tikrasqa, tikrasqa uya, uya
🫠	chinkachisqa, chinkachiy, chullusqa uya, chulluy, yaku
😉	chʼirmi, chʼirmi uya, chʼirmi ya, uya
😊	kusi, kusisqa uyata kusisqa ñawikunawan, pʼinqakuy, uya, ñawi
😇	angel, aureola, fantasia, juchannaq, kusisqa uya aureolawan, uya
🥰	kusisqa uya sunqukunawan, munanakuy, munasqa, munay, sunqukuna
😍	kusi, kusisqa uya sunqukunawan ñawikunapi, munay, uya, ñawi
🤩	kusisqa, quyllur, quyllur añasqa, uya, ñawikuna
😘	muchʼa, uya, uya chʼamqasqa huk muchʼata
😗	muchʼa, muchʼasqa uya, uya
☺️	chiqchisqa uya, kusi, kusisqa uya, samasqa, siqisqa, uya
😚	muchʼa, muchʼasqa uyata wichqasqa ñawikunawan, uya, wichqasqa, ñawi
😙	muchʼa, muchʼasqa uyata kusisqa ñawikunawan, uya, ñawi
🥲	apuskachaq, kusisqa, kusisqa uya wiqiwan, kusisqa uya wiwiwan, llamkasqa, pachi, wiqi
😋	kusi, mikhuchkan, mikhusqa mikhuna, miskʼi, mmm, uya, uya mikhusqa mikhuna
😛	qallu, uya, uya qalluwan
😜	asina, chʼirmi, chʼirmi uya qalluwan, qallu, uya, ñawi
🤪	hatun, huchuy, waqʼa, waqʼa uya, ñawi
😝	mikhuy, millana wichqasqa ñawikuna qalluwan, qallu, uya, wichqasqa ñawikuna qalluwan, ñawi
🤑	qallu, qullqi, qullqi simi uya, simi qullqiwan uya, uya
🤗	mak’alli, mak’allisqa, uya, ya makʼalliwan
🤭	ups, uya makiwan simipi
🫢	manchakusqa, manchakuy, pinqakusqa, pinqakuy, uya kichasqa ñawikunawan maki simipi
🫣	captivatu, chinkachisqa, uya chinkachisqa ñawiwan, ñawiriy
🤫	chʼin, chʼin uya, ch’in uya, ñañiq
🤔	uya, yuyasqa, yuyasqa uya
🫡	inti, rimaykuy, uya rimaykuspa, uyakuy, yari
🤐	simi, uya, uya ziper simipi, ziper
🤨	eseptico, mana iñisqa, uya wichasqa qhiñipa, uya wichqasqa qhiñipa
😐️	chʼusaq uya, kikin, neural, uh, uya
😑	eh, mana expresioniyuq, mana rimasqa uya, uya, wañusqa
😶	chʼin, simi, uya, uya mana simiyuqwan, ñañiq
🫥	chinkachiy, chusupa siqinwan uya, mana riqisqa, upallasqa
😶‍🌫	chaqrusqa uya, payu, phuñusqa uma, uya phuyukunapi
😏	kʼaskikachay, kʼaskiskachasqa uya, uya
😒	llakisqa, mana kusisqa, mana kusisqa uya, uya
🙄	muyusqa, muyuy, uya, uya muyusqa ñawikunawan, ñawikuna
😬	muesca, uya, uya muecaswan, uya muescaswan
😮‍💨	anchhiy, ansaqiy, jinchuy, llamsayay, samay, uya samachkan
🤥	llullakusqa uya, llullakuy, pinocho, uya
😌	llamsayasqa, llamsayasqa uya, uya
😔	usphu, uya, yuyaspa, yuyaspa uya
😪	puñuy, uya, uya puñuywan
🤤	llawsasuru, llawsasuru uyu, uyu
😴	puñusqa uya, puñuy, uya, zzz
😷	barbijo, chiri, hampiq, unqusqa, uya, uya barbijiwan, uya barbijowan
🤒	termometro, termometrowan uya, unqusqa, unquy, uya
🤕	kʼiri, kʼirisqa, uya, uya manku umawan, venda
🤢	q’ipna, uya, ñatʼisqa uya, ñat’isqa
🤮	qʼipina, qʼipina uya, q’ipina uya, unqusqa
🤧	gesundheit, jachisqa uya, jachiy, uya
🥵	fiebre, jumpʼi, puka uya, qʼuñi, qʼuñi uya, ruphay
🥶	anqas uya, chhullunkaa, chiri, chiri uy, chiri uya, khutu, khutuy
🥴	intoxicado, machasqa, muyu muyu, qinquykachasqa simi, uma muyuy, wistʼu ñawikuna
😵	takasqa uya, uya, wañuy
😵‍💫	espiral, hipnotizado, muyu muyu, sasachay, uya espiral ñawikunawan, wow
🤯	luqlu yuyay, mancharisqa, pʼakisqa uma, p’akisqa uma
🤠	baquera, baquero, baquero uya chukuwan, chuku, uya
🥳	chuku, jarana, qʼuchukusqa uya, raymi, waqra
🥸	lentekuna, mana riqsiqisqa, pakasqa, pakasqa uya, sinqa, uya
😎	allinlla, inti, kusisqa uya lenteswan, kʼanchay, lentes de sol nisqa, uya
🤓	friki, uya, yuyaq, yuyaq uya
🧐	maskasqa, uya monoculowan
😕	chaqrusqa uya, eh, uya
🫤	chinkachisqa, eseptiku, mana uyakusqa, mmm, uya wiksu simiwan
😟	llakisqa, llakisqa uya, uya
🙁	llaki, pisi llakisqa uya, uya
☹️	sipʼusqa uya, sipʼuy, uya
😮	kichay, kʼacha, simi, uya, uya kichasqa simiwan
😯	chʼin kasqa uya, kakka, manchachisqa, p’inqakusqa, uya
😲	añasqa, añasqa uya, chaqrusqa, llapan, uya
😳	kuyusqa, pʼinqakusqa uya, p’inqakusqa, uya
🥺	khuyakuy, llullu uya, uyllasqa uya, uyllay
🥹	orgulloso, piña, uya wiqikunawan hapisqa, waqasqa, waqay
😦	añasqa uya kichasqa simiwan, añay, kichay, simi, uya
😧	ñakʼari uya
😨	manchachisqa, mancharisqa, mancharisqa uya, manchariy, uya
😰	anqas, chiri, sutʼu, takurisqa uya sutʼuwan, usqhasqa, uya
😥	llakisqa ichaqa llamkayasqa uya, llakisqa ichaqa llamsayasqa uya, llamsayasqa, sunqunnasqa uya, uf, uya
😢	llakisqa, uya, waqasqa uya, waqay, wiqi
😭	llaki, llakisqa, uya, waqasqa uya wiqikunawan, wiqi
😱	khastuy, manay, manchasqa, qhapariy, uya, uya qaparisqa manchanawan
😖	pantasqa uya
😣	uya, yanapakusqa uya, yanapakuy
😞	sunqunnasqa uya
😓	chiri, llakisqa uya sutʼuwan, sutʼu, uya
😩	ayqusqa, ayqusqa uya, sayk’usqa, uya
😫	saykʼusqa uya, sayk’usqa, uya
🥱	hanyasqa, hanyasqa uya, maji, majisqa
😤	atipasqa, triunfo, uya, uya qʼusñiwan sinqamanta
😡	phiña, phiñakuq, phiñakuy, puka, turisqa uya, uya
😠	phiñakusqa, phiñakusqa uya, uya
🤬	sullullchachkan, uya unanchakunawan simipi
😈	fantasia, hadas willana, kusisqa, kusisqa uya waqrakunawan, uya, waqra
👿	challi, fantasia, phiñakusqa uya waqrakunawan, saqra, supay, uya
💀	hadas willana, monstruo, saqru, uya, wañuy
☠️	chakatasqa tullukuna, monstruo, saqru, saqru chaymanta chakatasqa tullukuna, uya, wañuy
💩	achka aka, aka, kaka, monstruo, popo, uya
🤡	pʼaqpaku uya
👹	criatura, fantasia, hadas willana, monstruo, ogro, uya
👺	criatura, fantasia, hadas willana, huchuy kuku, kuku, monstruo, uya
👻	criatura, fantasia, hadas willana, kuku, monstruo, uya
👽️	alien, criatura, extraterrestre, fantasia, ovni, uya
👾	alien, criatura, extraterrestre, monstruo, ovni, pʼarqa alienígena, uya
🤖	mostruo, robot, uya
😺	kichay, kusi, kusisqa, kusisqa misi, misi, simi, uya
😸	asiy, kusi, kusisqa misi uya kusisqa ñawikunawan, misi, uya, ñawi
😹	kusi, misi, misi wiqikunawan kusirikuyninmanta, uya, wiqi
😻	asisqa misi sunqukunawan ñawikunapi, asiy, misi, munay, sunqu, uya, ñawi
😼	asiy, ironico, misi, misi muyusqa kusiwan, muyusqa, uya
😽	misi, muchʼa, muchʼasqa misi, uya, ñawi
🙀	ayqusqa, mancharisqa, mancharisqa misi, misi, oh, uya
😿	llakisqa, misi, uya, waqasqa misi, waqay, wiqi
😾	misi, turisqa, turisqa misi, uya
🙈	Vote supay, amachasqa, kusillo, kusillo mana saqrayuqwan rikuy, rikuy, uya
🙉	amachasqa, kusillo, kusillo mana saqrayuqwan uyariy, supay, uya, uyariy
🙊	amachasqa, kusillo, kusillo mana saqrayuqwan parlay, parlay, supay, uya
💋	muchʼa, muchʼa unancha, sirpi
💌	chaski, munay, munay qillqa, qillqa, sunqu
💘	cupido, sunqu wachʼiwan, wachʼi
💝	cinta, sunqu cintawan, valentin
💖	kusisqa, kʼanchasqa, kʼanchasqa sunqu
💗	kusisqa, paqarisqa, paqarisqa sunqu, pulso, tʼikti
💓	patatasqa sunqu, phatatasqa, phatatasqa sunqu, phatatay, tʼipuy
💞	muyusqa, muyusqa sunqukuna
💕	iskay sunqukuna, munay
💟	sunqu, sunqu rikchay
❣️	exclamasion, marka, puntuacion, sunqu exclamasion
💔	pakasqa, pakasqa sunqu, pakay
❤‍🔥	munay, ruphay, sunqu, sunqu ninapi, wakʼa sunqu, ñuqi
❤‍🩹	allichachkan, allichasqa, allichasqa sunqu, allichay kay, allin, qhali kay, qhali kaynin
❤️	puka sunqu, sunqu
🧡	willapi, willapi sunqu
💛	qʼillu, qʼillu sunqu
💚	qʼumir, qʼumir sunqu
💙	anqas, anqas sunqu
💜	kulli, kulli sunqu
🤎	cafe, cafe sunqu, sunqu
🖤	saqra, supay, yana, yana sunqu
🤍	sunqu, yuraq, yuraq sunqu
💯	100, chikukuna, hunta, pachaq, pachaq chikukuna
💢	comic, mana allin, phiñakuy, phiñakuy unancha
💥	bum, comic, tupa
💫	comic, muyu muyu, quyllur
💦	chʼiqichisqa, comic, jumpʼi sutukuna, sumpʼi sutukuna, sutʼu
💨	comic, karuman phawachkan, phaway, purichkan
🕳️	t’uqu
💣️	bomba, comic
💬	glubu, kusi, phukpu, rimana, rimasqa, rimaypa glubun
👁‍🗨	rimasqa phukpupi, testigo, ñawi, ñawi rimasqa phukpupi
🗨️	lluqʼi rimasqa phukpupi, lluq’i rimasqa phukpupi, rimana, rimay
🗯️	paña phiñasqa phukpu, phiñasqa, phiñay, phukpu
💭	glubu, kusi, phukpu, rimana, rimasqa, yuyaypa glubun
💤	comic, puñuy, zzz
👋	maki, qinquykachasqa, qinquykachasqa maki, qinquykachay
🤚	jinchʼa, juqharisqa, juqharisqa maki
🖐️	maki, maki iskay rukanakunawa mastasqa, maki iskay ruk’anakunawa mast’asqa, mastasqa, rukana
✋	huqharisqa maki, maki
🖖	maki, rukana, spock, vulcano, vulcano napay
🫱	maki, paña, pañaman, pañaman maki
🫲	lluqi, lluqiman, lluqiman maki, maki
🫳	chinkachiy, kachaykuy, uranman maki pampa
