‾	барзиёд
😑	беифода, нобурро, ногуфтанӣ, рӯи беифода, рӯй
😶	бесадо, даҳон, рӯи бедаҳон, рӯй, хомӯш
😏	писханда, рӯи писхандакунанда, рӯй
😒	зиқ, норозӣ, рӯи норозӣ, рӯй
🙄	даврзанӣ, рӯй, рӯй бо чашмони даврзананда, чашмҳо
😬	рӯи туршкунанда, рӯй, рӯй туршкунӣ
🤥	пиноккио, рӯи дурӯғгӯ, рӯй, хобидан
😌	бароҳат, рӯи бароҳат, рӯй
😔	андуҳгин, рӯи андуҳгин, рӯй, ғамзада
😪	рӯи хоболуд, рӯй, хоб кардан
🤤	оби даҳон чакидаистода, рӯи оби даҳон чакидаистода, рӯй
😴	рӯи хуфта, рӯй, хоб кардан, ххх
😷	дору, духтур, касал, ниқоб, рӯй, рӯй бо ниқоби тиббӣ, хунук
🤒	бемор, касал, рӯй, рӯй бо ҳароратсанҷ, ҳароратсанҷ
🤕	бандина, зарар расондан, осеб, рӯй, рӯй бо бандинаи сар
🤢	дилбеҳузуршуда, партофтан, рӯи дилбеҳузурӣ, рӯй
🤮	бемор, партофтан, рӯи партофта истода
🤧	Рӯи атсазананда, атса задан, рӯй, саломат бошед
😵	рӯи сарчархзанӣ, рӯй, сарчархзанӣ
🤯	сари тарканда, шигифтазада
🤠	ковбой, кулоҳ, рӯи дорои кулоҳи ковбой, рӯй, чӯпондухтар
😎	айнак, айнаки муҳофизатӣ, айнаки офтобӣ, офтоб, равшан, рӯи хандон бо айнаки офтобӣ, рӯй, салқин, табассум, чашм
🤓	доно, рӯи соддалавҳ, рӯй, соддалавҳ
🧐	нафасгир, рӯй бо айнаки якчашма
😕	ошуфта, рӯи ошуфта, рӯй
😟	мушавваш, рӯи мушавваш, рӯй
🙁	рӯи каме қавоқандохта, рӯй, қавоқ андохтан
☹️	рӯи қавоқандохта, рӯй, қавоқ андохтан
😮	даҳон, кушода, рӯй, рӯй бо даҳони кушода, ҳусни таваҷҷуҳ
😯	рӯи хомӯш, рӯй, хомӯшшуда, шах шудамонда, ҳайрон
😲	баҳайратафтода, рӯи ҳайрон, рӯй, тамоман, ҳайрон
😳	мабҳут, рӯи сурхшуда, рӯй, сурхшуда
😦	даҳон, кушода, рӯи турш бо даҳони кушода, рӯй, қавоқ андохтан
😧	дилтанг, рӯи дилтанг, рӯй
😨	рӯи тарсон, рӯй, тарс, тарсон, ҳаросида
😰	даҳон, кабуд, кушода, рӯи бо даҳони кушода ва арақи хунук, рӯй, саросема, хунук
😥	бароҳат, рӯй, фуҳ, ғамгин, ғамгин, вале рӯи бароҳат
😢	ашк, гиря, зиқ, рӯи гирён, рӯй
😭	ашк, гиря, зиқ, рӯи баланд гириста истода, рӯй, ҳиқ-ҳиқ карда гиря кардан
😱	дод задан, рӯи аз тарс дод задаистода, рӯй, тарс, тарсон, чалп-чалп хӯрдан, ҳаросида
😖	рӯи хиҷил, рӯй, хиҷил
😣	истодагарӣ кардан, рӯи истодагарикунанда, рӯй
😞	рӯи ғамгин, рӯй, ғамгин
😓	арақ, рӯй, рӯй бо арақи хунук, хунук
😩	афгор, рӯи афгор, рӯй, хаста
😫	рӯи хаста, рӯй, хаста
😤	бурд, музаффарият, рӯй, рӯй бо дуд аз бинӣ
😡	бадқавоқ, девона, рӯи бадқавоқ, рӯй, сурх, хашм, хашмгин
😠	девона, рӯи хашмгин, рӯй, хашмгин
🤬	рӯй бо аломатҳо дар болои даҳон, қасам хӯрда истода
😈	афсона, рӯи хандон бо шохҳо, рӯй, табассум, тахайюлот, шохҳо
👿	афсона, дев, рӯи хашмгин бо шохҳо, рӯй, тахайюлот, шайтон, шайтонча
💀	афсона, аъҷуба, косахонаи сар, марг, рӯй
☠️	аъҷуба, косахонаи сар, косахонаи сар ва устухонҳо дар шакли салиб, марг, рӯй, устухонҳо дар шакли салиб
💩	ахлот, аъҷуба, гуҳ, мазҳакавӣ, пору, рӯй, тӯдаи гуҳ
🤡	масхарабоз, рӯи масхарабоз, рӯй
👹	афсона, аъҷуба, махлуқ, одамхӯр, рӯй, тахайюлот
👺	афсона, аъҷуба, аҷинаи хона, махлуқ, рӯй, тахайюлот
👻	афсона, аъҷуба, махлуқ, руҳ, рӯй, тахайюлот
👽️	афсона, аъҷуба, бегона, берун аз Замин, лаълии паррон, махлуқ, рӯй, тахайюлот
👾	афсона, аъҷуба, аъҷубаи бегона, бегона, берун аз Замин, лаълии паррон, махлуқ, рӯй, тахайюлот
🤖	аъҷуба, робот, рӯи робот, рӯй
😺	гурба, даҳон, кушода, рӯи гурбаи хандон бо даҳони кушода, рӯй, табассум
😸	гурба, рӯи писхандакунандаи гурба бо чашмони хандон, рӯй, табассум кардан, фарох табассум кардан
😹	ашк, гурба, рӯи гурба бо ашки хурсандӣ, рӯй, хурсандӣ
😻	гурба, муҳаббат, рӯи хандони гурба бо чашмони дилмонанд, рӯй, табассум, чашм
😼	гурба, истеҳзоомез, каҷ, рӯи гурба бо табассуми каҷ, рӯй, табассум
😽	бӯса, гурба, рӯи бӯсакунандаи гурба бо чашмони пӯшида, рӯй, чашм
🙀	афгор, гурба, оҳ, рӯи афгори гурба, рӯй, ҳайрон
😿	ашк, гиря, гурба, зиқ, рӯи гирёни гурба, рӯй
😾	бадқавоқ, гурба, рӯи бадқавоқи гурба, рӯй
🙈	бад, дидан, имову ишора, маймун, маймуне, ки бадиро намебинад, мамнуъ, манъшуда, не, рӯй
🙉	бад, имову ишора, маймун, маймуне, ки бадиро намешунавад, мамнуъ, манъшуда, не, рӯй, шунидан
🙊	бад, гап задан, имову ишора, маймун, маймуне, ки гапи бад намезанад, мамнуъ, манъшуда, не, рӯй
💋	бӯса, лабҳо, нишонаи бӯса
💌	дил, мактуб, мактуби ошиқӣ, муҳаббат, почта
💘	амур, дил бо тир, тир
💝	валентин, дил бо лента, лента
💖	дили ҷилодор, ҳаяҷон, ҷило додан
💗	асабӣ, дили афзоянда, калон шуда истода, набз, ҳаяҷон
💓	дили тапишзананда, тапидан, тапишзанӣ, тапиши дил
💞	даврзананда, дилҳои даврзананда
💕	ду дил, муҳаббат
💟	дил, ороиши дил
❣️	аломат, аломатҳои китобатӣ, хитоб, хитоби дили вазнин
💔	дили шикаста, шикаста, шикастан
❤️	дил, дили сурх
🧡	дили норанҷӣ, норанҷӣ
💛	дили зард, зард
💚	дили сабз, сабз
💙	дили кабуд, кабуд
💜	арғувонӣ, дили арғувонӣ
🖤	бад, дили сиёҳ, сиёҳ, шарир
💯	100, пурра, сад, сад хол, хол
💢	аломати ғазаб, девона, мазҳакавӣ, хашмгин
💥	бархӯрд, бум, мазҳакавӣ
💫	мазҳакавӣ, сархчархзанӣ, ситора
💦	арақ, мазҳакавӣ, пош хӯрдаистода, қатраҳои арақ
💨	гурехтан, давидаистода, мазҳакавӣ, тез гурехтан
🕳️	сурох
💣️	бомба, мазҳакавӣ
💬	балон, мазҳакавӣ, муколама, нутқ, ҳубоб, ҳубоби нутқ
👁‍🗨	чашм, чашм дар ҳуббоби гуфтугӯ, шоҳид, ҳуббоби гуфтугӯ
🗨️	муколама, нутқ, ҳубоби чапи гуфтугӯ
🗯️	балон, девона, хашмгин, ҳубоб, ҳубоби рости ғазаб
💭	балон, мазҳакавӣ, фикр, ҳубоб, ҳубоби андеша
💤	мазҳакавӣ, хоб кардан, ххх
👋	даст, мавҷ, ҳаракати пешу қафо, ҳаракати пешу қафои даст
🤚	бардошташуда, пушти даст, пушти дасти бардошташуда
🖐️	ангушт, даст, дасти бардошта бо ангуштони паҳнкарда, паҳнкарда
✋	даст, дасти бардошта
🖖	аланга, ангушт, даст, ишораи спок, саломдиҳии вулқонӣ
👌	Дасти ОК, ОК, даст
✌️	v, даст, дасти зафар, зафар
🤞	ангушт, ангуштони ба ҳам гузошташуда, даст, муваффақият, салиб
🤟	ILY, даст, имову ишораи "Туро дӯст медорам"
🤘	ангушт, даст, ишораи ду шох, ишораи шохҳо, шохҳо
🤙	ба ман занг занед, даст, занг
👈️	ангушт, ангушти ишорат ба тарафи чап ишора карда истода, даст, нишондиҳанда, нуқта, пушти даст
👉️	ангушт, ангушти ишорат ба тарафи рост ишора карда истода, даст, нишондиҳанда, нуқта, пушти даст
👆️	ангушт, боло, даст, нишондиҳанда, пушти даст, пушти даст ангушти ишорат ба боло ишора карда истода
🖕	ангушт, ангушти байн, даст
👇️	ангушт, ангушти ишорат ба поён ишора карда истода, даст, нишондиҳанда, нуқта, поён, пушти даст
☝️	ангушт, ангушти ишорат ба боло ишора карда истода, боло, даст, нишондиҳанда, нуқта
👍️	+1, боло, даст, нарангушт, хуб
👎️	-1, бад, даст, нарангушт, поён
✊	даст, мушт, мушт задан, мушти бардошта, фушурдашуда
👊	даст, мушт, мушт задан, мушти муқобил, фушурдашуда
🤛	ба тарафи чап, мушт, мушт аз тарафи чап
🤜	ба тарафи рост, мушт, мушти тарафи рост
👏	даст, дастҳои қарсакзананда, қарсак задан
🙌	бардошта, даст, дастҳои бардоштаистода, имову ишора, ура, ҷашн
👐	даст, дастҳои кушода, кушода
🤲	дастҳо якҷоя боло, дуо
🤝	вохӯрӣ, даст, дастфишурӣ, дастфишӯрӣ, созишнома, фишурдан
🙏	даст, дастҳои қат кардашуда, дуо кардан, имову ишора, лутфан, пурсидан, ташаккур, хам шудан, қат кардашуда
✍️	даст, дасти навишта истода, навиштан
💅	косметика, лок, лок барои нохунҳо, маникюр, нохун, ғамхорӣ
🤳	камера, селфи, телефон
💪	битсепс, мазҳакавӣ, мушак, мушаки битсепси қат кардашуда, қат кардан
👂️	бадан, гуш
👃	бадан, бинӣ
🧠	доно, майнаи сар
👀	рӯй, чашм, чашмон
👁️	бадан, чашм
👅	бадан, забон
👄	даҳон, лабҳо
👶	кӯдак, тифл, ҷавон
🧒	баробарии ҷинсҳо, кӯдак, ҷавон
👦	писар, ҷавон
👧	Сунбула, бурҷи дувоздаҳгона, духтар, ҷавон
🧑	баробарии ҷинсҳо, калонсол
👱	зардинамӯй, шахси зардинамӯй
👨	мард
🧔	риш, шахси ришдор
👱‍♂	зардинамӯй, мард, марди зардинамӯй
👩	зан
👱‍♀	зан, зани зардинамӯй, зардинамӯй
🧓	баробарии ҷинсҳо, калонсоли пир, пир
👴	мард, марди пир, пир
👵	зан, зани пир, пир
🙍	имову ишора, шахсе, ки қавоқ андохта истодааст, қавоқ андохтан
🙍‍♂	имову ишора, мард, марде, ки қавоқ андохта истодааст, қавоқандозӣ
🙍‍♀	зан, зане, ки қавоқ андохта истодааст, имову ишора, қавоқандозӣ
🙎	имову ишора, каҷкунии лаб, шахсе, ки лабҳояшро каҷ карда истодааст
🙎‍♂	имову ишора, каҷкунии лаб, мард, марде, ки лабҳояшро каҷ карда истодааст
🙎‍♀	зан, зане, ки лабҳояшро каҷ карда истодааст, имову ишора, каҷкунии лаб
🙅	даст, имову ишора, мамнуъ, манъшуда, не, шахсе, ки "НЕ" ишора карда истодааст
🙅‍♂	даст, имову ишора, мамнуъ, манъшуда, мард, марде, ки "НЕ" ишора карда истодааст, не
🙅‍♀	даст, зан, зане, ки "НЕ" ишора карда истодааст, имову ишора, мамнуъ, манъшуда, не
🙆	ОК, даст, имову ишора, шахсе, ки "ОК" ишора карда истодааст
🙆‍♂	ОК, даст, имову ишора, мард, марде, ки "ОК" ишора карда истодааст
🙆‍♀	ОК, даст, зан, зане, ки "ОК" ишора карда истодааст, имову ишора
💁	густох, даст, кӯмак, маълумот, чаппакунӣ, шахсе, ки бо дасташ ишора карда истодааст
💁‍♂	густох, дасти ишоракунанда, мард, марде, ки бо дасташ ишора карда истодааст
💁‍♀	густох, дасти ишоракунанда, зан, зане, ки бо дасташ ишора карда истодааст
🙋	бардошта, даст, имову ишора, хурсанд, шахсе, ки дасташро бардошта истодааст
🙋‍♂	дасти бардошта, имову ишора, мард, марде, ки дасташро бардошта истодааст
🙋‍♀	дасти бардошта, зан, зане, ки дасташро бардошта истодааст, имову ишора
🙇	бахшиш, имову ишора, узр, хам шудан, шахсе, ки хам шуда истодааст
🙇‍♂	бахшиш, имову ишора, лутф, мард, марде, ки хам шуда истодааст, узр, хам шуда истода
🙇‍♀	бахшиш, зан, зане, ки хам шуда истодааст, имову ишора, лутф, узр, хам шуда истода
🤦	кафи даст, нобоварӣ, рӯй, хашмгинӣ, шахсе, ки рӯяшро бо дастонаш пӯшида истодааст
🤦‍♂	мард, марде, ки рӯяшро бо дастонаш пӯшида истодааст, нобоварӣ, пӯшидани рӯй бо дастон, хашмгинӣ
🤦‍♀	зан, зане, ки рӯяшро бо дастонаш пӯшида истодааст, нобоварӣ, пӯшидани рӯй бо дастон, хашмгинӣ
🤷	бепарвоӣ, китф афшондан, нодонӣ, шахсе, ки китф афшонда истодааст, шубҳа
🤷‍♂	бепарвоӣ, китф афшондан, мард, марде, ки китф афшонда истодааст, нодонӣ, шубҳа
🤷‍♀	бепарвоӣ, зан, зане, ки китф афшонда истодааст, китф афшондан, нодонӣ, шубҳа
👨‍⚕	духтур, мард, марди корманди тандурустӣ, нигоҳдории тандурустӣ, терапевт, ҳамшираи шавқат
👩‍⚕	духтур, зан, зани корманди тандурустӣ, нигоҳдории тандурустӣ, терапевт, ҳамшираи шавқат
👨‍🎓	донишҷӯ, мард, марди донишҷӯ, хатмкунанда
👩‍🎓	донишҷӯ, зан, зани донишҷӯ, хатмкунанда
👨‍🏫	дастурдиҳанда, мард, марди муаллим, муаллим, профессор
👩‍🏫	дастурдиҳанда, зан, зани муаллим, муаллим, профессор
👨‍⚖	адолат, мард, марди судя, тарозу
👩‍⚖	зан, зани судя, судя, тарозу
👨‍🌾	боғбон, мард, марди фермер, соҳиби фермаи чорво, фермер
👩‍🌾	боғбон, зан, зани фермер, соҳиби фермаи чорво, фермер
👨‍🍳	мард, марди ошпаз, ошпаз, сардори ошпазон
👩‍🍳	зан, зани ошпаз, ошпаз, сардори ошпазон
👨‍🔧	водопроводчӣ, мард, марди механик, механик, савдогар, устои барқ
👩‍🔧	водопроводчӣ, зан, зани механик, механик, савдогар, устои барқ
👨‍🏭	ассамблея, коргар, мард, марди коргари фабрика, саноатӣ, фабрика
👩‍🏭	ассамблея, зан, зани коргари фабрика, коргар, саноатӣ, фабрика
👨‍💼	идора, корманди илмӣ, мард, марди корманди идора, меъмор, мудир, соҳибкорӣ
👩‍💼	зан, зани корманди идора, идора, корманди илмӣ, меъмор, мудир, соҳибкорӣ
👨‍🔬	биолог, кимиёшинос, мард, марди олим, математик, муҳандис, олим, физик
👩‍🔬	биолог, зан, зани олим, кимиёшинос, математик, муҳандис, олим, физик
👨‍💻	барномасоз, ихтироъкор, ман, марди технолог, нармафзор, таҳиягар, технолог
👩‍💻	барномасоз, зан, зани технолог, ихтироъкор, нармафзор, таҳиягар, технолог
👨‍🎤	корманди санъат, мард, марди сароянда, рок, сароянда, ситора, ҳунарманд
👩‍🎤	зан, зани сароянда, корманди санъат, рок, сароянда, ситора, ҳунарманд
👨‍🎨	лавҳачаи рассомӣ, мард, марди рассом, рассом
👩‍🎨	зан, зани рассом, лавҳачаи рассомӣ, рассом
👨‍✈	мард, марди халабон, халабон, ҳавопаймо
👩‍✈	зан, зани халабон, халабон, ҳавопаймо
👨‍🚀	кайҳоннавард, мард, марди кайҳоннавард, ракета
👩‍🚀	зан, зани кайҳоннавард, кайҳоннавард, ракета
👨‍🚒	мард, марди сӯхторхомӯшкун, мошини сӯхторхомӯшкунӣ, сӯхторхомӯшкун
👩‍🚒	зан, зани сӯхторхомӯшкун, мошини сухторхомӯшкунӣ, сӯхторхомӯшкун
👮	афсар, афсари пулис, милиса, пулис
👮‍♂	афсар, мард, марди афсари пулис, милиса, пулис
👮‍♀	афсар, зан, зани афсари пулис, милиса, пулис
🕵️	детектив, ҷосус, ҷӯянда
🕵‍♂	детектив, мард, марди детектив, ҷосус, ҷӯянда
🕵‍♀	детектив, зан, зани детектив, ҷосус, ҷӯянда
💂	посбон
💂‍♂	мард, марди посбон, посбон
💂‍♀	зан, зани посбон, посбон
👷	коргар, коргари сохтмон, сарпӯш, сохтмон
👷‍♂	коргар, мард, марди коргари сохтмон, сохтмон
👷‍♀	зан, зани коргари сохтмон, коргар, сохтмон
🤴	шоҳзода
👸	афсона, тахайюлот, шоҳдухтар
👳	салла, шахсе, ки дар сар салла дорад
👳‍♂	мард, марде, ки дар сар салла дорад, салла
👳‍♀	зан, зане, ки дар сар салла дорад, салла
👲	гуа пи мао, мард, мард бо сарпӯши хитоӣ, сарпӯш
🧕	зан бо рӯймол, мантиля, рӯймол, тикл, ҳиҷоб
🤵	домод, мард, мард бо смокинг, смокинг
👰	арӯс, арӯс бо сарандоз, сарандоз, тӯй
🤰	зан, зани ҳомила, ҳомила
🤱	сина, синамакконӣ, тифл, ширмакконӣ
👼	афсона, кӯдак, кӯдаки фаришта, малоика, рӯй, тахайюлот
🎅	бобои барфӣ, клаус, мавлуди Исо, падар, санта, ҷашн
🤶	Мавлуди Исо, Хонум Клаус, клаус, модар, хонум, ҷашн
🧙	зани афсунгар, коҳин, марди афсунгар, соҳир, ҷодугар
🧙‍♂	марди афсунгар, марди коҳин, соҳир
🧙‍♀	зани афсунгар, зани коҳин, ҷодугар
🧚	Оберон, Парии бад, Титания, парӣ
🧚‍♂	Оберон, Парии бад, парии мард
🧚‍♀	Титания, парии зан
🧛	Дракула, вампир, вампирҳо
🧛‍♂	Дракула, вампирҳо, мардии вампир
🧛‍♀	вампирҳо, зани вампир
🧜	марди обӣ, парии обӣ, шахси обӣ
🧜‍♂	Самандар, марди обӣ
🧜‍♀	парии обӣ
🧝	пакана, соҳирӣ
🧝‍♂	марди пакана, соҳирӣ
🧝‍♀	зани пакана, соҳирӣ
🧞	ҷин
🧞‍♂	марди ҷин, ҷин
🧞‍♀	зани ҷин, ҷин
🧟	вампирҳо, зомби, мурдаҳои роҳгард
🧟‍♂	вампирҳо, марди зомби, мурдаҳои роҳгард
🧟‍♀	вампирҳо, зани зомби, мурдаҳои роҳгард
💆	паём, рӯй, толор, шахсе, ки паём гирифта истодааст
💆‍♂	мард, марде, ки паём гирифта истодааст, паём, рӯй
💆‍♀	зан, зане, ки паём гирифта истодааст, паём, рӯй
💇	кабинет, мӯйгирӣ, сартарош, шахсе, ки мӯи сарашро гирифта истодааст, ҳусн
💇‍♂	мард, марде, ки мӯи сарашро гирифта истодааст, мӯйгирӣ
💇‍♀	зан, зане, ки мӯи сарашро гирифта истодааст, мӯйгирӣ
🚶	роҳ гаштан, роҳгардӣ, саёҳат кардан, шахсе, ки роҳ гашта истодааст
🚶‍♂	мард, марде, роҳ гашта истодааст, роҳ гаштан, саёҳат кардан
🚶‍♀	зан, зане, роҳ гашта истодааст, роҳ гаштан, саёҳат кардан
🏃	давида истода, марафон, шахсе, ки давида истодааст
🏃‍♂	давида истода, марафон, мард, марде, ки давида истодааст, пойга
🏃‍♀	давида истода, зан, зане, ки давида истодааст, марафон, пойга
💃	зане, зане, ки рақс карда истодааст, рақс кардан
🕺	мард, марде, ки рақс карда истодааст, рақс
🕴️	костюм, мард, марде, ки бо костюми корӣ баланд шуда истодааст, соҳибкорӣ
👯	гӯшҳои харгӯш, нафарони бо гӯшҳои харгӯш хурсандӣ карда истода, раққос, хурсандӣ кардан
👯‍♂	гӯшҳои харгӯш, мардон, мардони бо гӯшҳои харгӯш хурсандӣ карда истода, раққос, хурсандӣ кардан
👯‍♀	гӯшҳои харгӯш, занони бо гӯшҳои харгӯш хурсандӣ карда истода, занҳо, раққос, хурсандӣ кардан
🧖	сауна, шахсе дар ҳуҷраи буғ, ҳуҷраи буғ
🧖‍♂	марде дар ҳуҷраи буғ, сауна, ҳуҷраи буғ
🧖‍♀	зане дар ҳуҷраи буғ, сауна, ҳуҷраи буғ
🧗	кӯҳнавард, шахсе, ки баромада истодааст
🧗‍♂	кӯҳнавард, марде, ки баромада истодааст
🧗‍♀	зане, ки баромада истодааст, кӯҳнавард
🤺	шамшер, шамшербоз, шамшербозӣ, шахси шамшербозӣ карда истода
🏇	асп, аспдавонӣ, аспи пойга, пойга, човандоз
⛷️	барф, лижа, лижарон
🏂️	барф, лижа, сноуборд, сноубордист
🏌️	голф, тӯбча, шахсе, ки голф бозӣ карда истодааст
🏌‍♂	голф, мард, марде, ки голф бозӣ карда истодааст
🏌‍♀	голф, зан, зане, ки голф бозӣ карда истодааст
🏄️	серфинг, шахси серфинг карда истода
🏄‍♂	мард, марде, ки серфинг карда истодаастмард, серфинг
🏄‍♀	зан, зане, ки серфинг карда истодааст, серфинг
🚣	шахси қаиқронӣ карда истода, қаиқ, қаиқи белдор
🚣‍♂	мард, марди қаиқронӣ карда истода, қаиқ, қаиқи белдор
🚣‍♀	зан, зани қаиқронӣ карда истода, қаиқ, қаиқи белдор
🏊️	шахси шино карда истода, шино кардан
🏊‍♂	мард, марди шино карда истода, шино кардан
🏊‍♀	зан, зани шино карда истода, шино кардан
⛹️	тӯб, шахсе, ки тӯбро ба замин зада истодааст
⛹‍♂	мард, марде, ки тӯбро ба замин зада истодааст, тӯб
⛹‍♀	зан, зане, ки тӯбро ба замин зада истодааст, тӯб
🏋️	борбардор, вазн, шахсе, ки бор мебардорад
🏋‍♂	борбардор, мард, марде, ки бор мебардорад
🏋‍♀	борбардор, зан, зане, ки бор мебардорад
🚴	велосипед, велосипедрон, велосипедронӣ, шахси велосипедронӣ карда истода
🚴‍♂	велосипед, велосипедрон, велосипедронӣ, мард, марди велосипедронӣ карда истода
🚴‍♀	велосипед, велосипедрон, велосипедронӣ, зан, зани велосипедронӣ карда истода
🚵	велосипед, велосипедрон, куҳ, шахси дар куҳ велосипедронӣ карда истода
🚵‍♂	велосипед, велосипедрон, куҳ, мард, марди дар куҳ велосипедронӣ карда истода
🚵‍♀	велосипед, велосипедрон, велосипедронӣ, зан, зани дар куҳ велосипедронӣ карда истода, куҳ
🤸	гимнастика, чарх, шахси чарх зада истода
🤸‍♂	гимнастика, мард, марди чарх зада истода, чарх
🤸‍♀	гимнастика, зан, зани чарх зада истода, чарх
🤼	гуштин, гуштингир, нафарони гуштингирӣ карда истода
🤼‍♂	гуштин, мардон, мардон гуштингирӣ карда истодаанд
🤼‍♀	гуштин, занон, занон гуштингирӣ карда истодаанд
🤽	об, поло, шахси ватерполо бозӣ карда истода
🤽‍♂	ватерполо, мард, марди ватерполо бозӣ карда истода
🤽‍♀	ватерполо, зан, зани ватерполо бозӣ карда истода
🤾	гандбол, тӯб, шахси гандбол бозӣ карда истода
🤾‍♂	гандбол, мард, марди гандбол бозӣ карда истода
🤾‍♀	гандбол, зан, зани гандбол бозӣ карда истода
🤹	бисёрвазифавӣ, жонглёрӣ кардан, малака, тавозун, шахси жонглёрӣ карда истода
🤹‍♂	бисёрвазифавӣ, жонглёрӣ карда истода, мард, марди жонглёрӣ карда истода
🤹‍♀	бисёрвазифавӣ, жонглёрӣ карда истода, зан, зани жонглёрӣ карда истода
🧘	йога, медитатсия, шахси дар ҳолати лотус
🧘‍♂	йога, марди дар ҳолати лотус, медитатсия
🧘‍♀	зани дар ҳолати лотус, йога, медитатсия
🛀	ванна, нафаре, ки душ карда истодааст
🛌	меҳмонхона, одам дар бистар, хоб кардан
👭	даст, доштан, ду зане, ки дастҳои якдигарро дошта истодаанд, зан, ҷуфт
👫	даст, доштан, зан, мард, мард ва зане, ки дастҳои якдигарро дошта истодаанд, ҷуфт
👬	бурҷи дувоздаҳгона, даст, доштан, ду марде, ки дастҳои якдигарро дошта истодаанд, дугоник, мард, Ҷавзо, ҷуфт
💏	бӯса, ҷуфт
💑	муҳаббат, ҷуфт, ҷуфт бо дил
👪️	оила
🗣️	гап зада истода, гап задан, рӯй, сар, сари гап зада истода, суроб
👤	нимпайкара, нимпайкара дар суроб, суроб
👥	нимпайкара, нимпайкараҳо дар суроб, суроб
👣	изи пой, изҳои пой, либос, чоп кардан
🐵	маймун, рӯи маймун, рӯй
🐒	маймун
🦍	горилла
🐶	афти саг, рӯй, саг, ҳайвони хонагӣ
🐕️	саг, ҳайвони хонагӣ
🐩	пудел, саг
🐺	афти гург, гург, рӯй
🦊	афти рӯбоҳ, рӯбоҳ, рӯй
🐱	афти гурба, гурба, рӯй, ҳайвони хонагӣ
🐈️	гурба, ҳайвони хонагӣ
🦁	Асад, афти шер, бурҷи дувоздаҳгона, рӯй, шер
🐯	афти паланг, паланг, рӯй
🐅	паланг
🐆	леопард
🐴	асп, афти асп, рӯй
🐎	асп, аспакӣ, аспи пойга, пойга
🦄	афти якшоха, рӯй, якшоха
🦓	гӯрхар, рах
🦌	оҳу
🐮	афти гов, гов, рӯй
🐂	Савр, бурҷи дувоздаҳгона, буққа
🐃	говмеш, говмеши обӣ, об
🐄	гов
🐷	афти хук, рӯй, хук
🐖	коштан, хук
🐗	хук, хуки ваҳшӣ
🐽	бинии хук, бинӣ, рӯй, хук
🐏	бурҷи дувоздаҳгона, гӯсфанд, мард, қӯшқор, Ҳамал
🐑	гӯсфанд, зан, меш
🐐	буз, бурҷи дувоздаҳгона, Ҷадӣ
🐪	куҳон, шутур, яккуҳона
