😭	ئۆكسۈش, ئۆكسۈپ يىغلىغان چىراي, غەمكىن, ياش, يىغا, چىراي
😱	قارغىش, قورققان, قورقۇنچ, قورقۇنچلۇق چىرقىرىغان چىراي, چىراي, چىرقىراش
😖	بىزار, بىزار چىراي, چىراي
😣	كەسكىن, كەسكىن چىراي, چىراي
😞	ئۈمىدسىز, ئۈمىدسىز چىراي, چىراي
😓	تەر, سوغۇق, سوغۇق تەرلىك چىراي, چىراي
😩	چارچاش, چىراي, ھارغان چىراي, ھارغىن
😫	چىراي, ھارغىن, ھارغىن چىراي
😤	ئۇتۇق, بۇرنىدىن ھور چىققان چىراي, غالىب, چىراي
😡	ئاچچىقلانغان, تۈرۈلگەن, خاپا, قىزىل, چىراي, ھومايغان, ھومايغان چىراي
😠	ئاچچىقلانغان, خاپا, خاپا چىراي, چىراي
🤬	ئاغزىدا بەلگە چىراي, قارغاش
😈	فانتازىيە, كۈلۈمسىرەش, مۈڭگۈز, مۈڭگۈزلۈك خۇش چىراي, چىراي, چۆچەك
👿	رەزىل, فانتازىيە, كەپسىز, مۈڭگۈزلۈك خاپا چىراي, يالماۋۇز, چىراي, چۆچەك
💀	ئۆلۈم, باش سۆڭەك, يالماۋۇز, چىراي, چۆچەك
☠️	ئۆلۈم, باش سۆڭەك, باش سۆڭەك ۋە ئۇستىخان, سۆڭەك, يالماۋۇز, چىراي
💩	تېزەك, كۈلكىلىك, يالماۋۇز, پوق, چىراي, چىچىش
🤡	سېرىكچى, سېرىكچى چىراي, چىراي
👹	دىۋە, فانتازىيە, مەخلۇق, يالماۋۇز, چىراي, چۆچەك
👺	جىن, فانتازىيە, مەخلۇق, يالماۋۇز, چىراي, چۆچەك
👻	ئالۋاستى, فانتازىيە, مەخلۇق, يالماۋۇز, چىراي, چۆچەك
👽️	ئۇچار تەخسە, تاشقى پىلانېت, تاشقى پىلانېتلىقلار, فانتازىيە, مەخلۇق, يالماۋۇز, چىراي, چۆچەك
👾	ئۇچار تەخسە, تاشقى پىلانېتلىق, تاشقى پىلانېتلىق يالماۋۇز, فانتازىيە, مەخلۇق, يالماۋۇز, چىراي, چۆچەك
🤖	روبوت, روبوت چىراي, يالماۋۇز, چىراي
😺	ئاغزى ئوچۇق خۇش مۈشۈك چىراي, ئوچۇق, ئېغىز, كۈلۈمسىرەش, مۈشۈك, چىراي
😸	كۆز, كۈلۈمسىرەش, مۈشۈك, چىراي, چىش, چىشىنى چىقارغان خۇش كۆزلۈك مۈشۈك چىراي
😹	خۇش, خۇش ياشلىق مۈشۈك چىراي, مۈشۈك, ياش, چىراي
😻	سۆيگۈ, كۆز, كۈلۈمسىرەش, مۈشۈك, يۈرەك كۆزلۈك خۇش مۈشۈك چىراي, چىراي
😼	ئاچچىق, ئاچچىق كۈلكىلىك مۈشۈك چىراي, تەنە, كۈلۈمسىرەش, مۈشۈك, چىراي
😽	سۆيۈش, كۆز, كۆزىنى يۇمۇپ سۆيگەن مۈشۈك چىراي, مۈشۈك, چىراي
🙀	ئوھ, مۈشۈك, چىراي, ھارغان, ھارغان مۈشۈك چىراي, ھەيران
😿	غەمكىن, مۈشۈك, ياش, يىغلىغان مۈشۈك چىراي, چىراي
😾	مۈشۈك, چىراي, ھومايغان, ھومايغان مۈشۈك چىراي
🙈	ئىشارە, ئەمەس, رەزىل, قىلماڭ, كۆرۈش, مايمۇن, ياق, ياماننى كۆرمەس مايمۇن, چىراي, چەكلەنگەن
🙉	ئاڭلاش, ئىشارە, ئەمەس, رەزىل, قىلماڭ, مايمۇن, ياق, ياماننى ئاڭلىماس مايمۇن, چىراي, چەكلەنگەن
🙊	ئىشارە, ئەمەس, رەزىل, سۆزلىمەڭ, سۆزلەش, مايمۇن, ياق, يامان سۆزلىمەس مايمۇن, چىراي, چەكلەنگەن
💋	سۆيگەن ئىز, سۆۈش, لەۋ
💌	خەت, سالامخەت, سۆيگۈ, سۆيگۈ خېتى, يۈرەك
💘	ئوقلۇق يۈرەك, ئوقياچى, كۆرسەتكۈچ
💝	باغلاق يۈرەك, تاسما, يۈرەك
💖	يالقۇن, چاقنىغان يۈرەك, ھاياجان
💗	ئۆسكەن, ئۆسۈۋاتقان يۈرەك, جىددىيلەشكەن, سوقۇش, ھاياجان
💓	سوقۇش, سوقۇۋاتقان, سوقۇۋاتقان يۈرەك, يۈرەك سوقۇشى
💞	ئايلانغان يۈرەك, ئايلىنىش
💕	سۆيگۈ, قوش يۈرەك
💟	يۈرەك, يۈرەك بېزەك
❣️	ئۈندەش, بەلگە, تىنىش, يۈرەكلىك ئۈندەش
💔	سۇلغان يۈرەك, سۇنغان, سۇنۇش
❤️	قىزىل يۈرەك, يۈرەك
🧡	قىزغۇچ رەڭ, قىزغۇچ يۈرەك
💛	سېرىق, سېرىق يۈرەك
💚	يېشىل, يېشىل يۈرەك
💙	كۆك, كۆك يۈرەك
💜	سۆسۈن, سۆسۈن يۈرەك
🖤	رەزىل, قارا, قارا يۈرەك, يامان
💯	100, تولۇق, نومۇر, يۈز, يۈز نومۇر
💢	ئاچچىق بەلگىسى, خاپا, ساراڭ, كۈلكە
💥	سوقۇلۇش, كۈلكىلىك, گۈلدۈر-قاراس
💫	قېيىش, كۈلكىلىك, يۇلتۇز
💦	تەر, تەر تامچىسى, كۈلكىلىك, چاچراش
💨	قۇيۇن, قۇيۇندەك كېتىش, كۈلكىلىك, يۈگۈرۈش
🕳️	تۆشۈك
💣️	كۈلكىلىك, پارتلاتقۇچ
💬	دىيالوگ, سۆز رامكىسى, سۆزلەش, شار, كۆپۈك, كۈلكىلىك
👁‍🗨	دىيالوگ, شاردىكى كۆز, كۆز, گۇۋاھچى
🗨️	دىيالوگ, سول سۆز رامكىسى, سۆزلەش
🗯️	ئوڭ خاپىلىق كۆپۈكچىسى, خاپا, ساراڭ, شار, كۆپۈك
💭	ئوي شارچىسى, ئويلاش, شار, كۆپۈك, كۈلكىلىك
💤	ئۇخخخ, ئۇخلاش, كۈلكە
👋	قول, قول پۇلاڭلىتىش, پۇلاڭلاش, پۇلاڭلىتىش
🤚	قارا قول, كۆتۈرگەن, كۆتۈرگەن قولنىڭ ئارقىسى
🖐️	بارماق, بارماقلىرىنى يېيىپ كۆتۈرگەن قول, قول, يايغان
✋	قول, كۆتۈرگەن قول
🖖	بارماق, سپوك, قول, ۋولقان, ۋولقان سالام
👌	قول, ماقل, ماقۇل بەلگىسى
✌️	v, غەلبە, غەلبە ئىشارىسى, قول
🤞	ئاق يول, بارماق, قول, كېسىشكەن, كېسىشكەن بارماقلار
🤟	سۆيىمەن, سۆيىمەن دېگەن ئىشارە, قول
🤘	بارماق, تاش, قول, مۈڭگۈز, مۈڭگۈز بەلگىسى
🤙	تېلېفون قىلىڭ, قول, چاقىرىش
👈️	ئارقىچە سولنى كۆرسەتكەن كۆرسەتكۈچ بارماق, بارماق, قول, قولنىڭ ئارقىسى, كۆرسىتىش, كۆرسەتكۈچ بارماق
👉️	ئارقىچە ئوڭنى كۆرسەتكەن كۆرسەتكۈچ بارماق, بارماق, قول, قولنىڭ ئارقىسى, كۆرسىتىش, كۆرسەتكۈچ بارماق
👆️	ئارقىچە ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق, ئۈستى, بارماق, قول, قولنىڭ ئارقىسى, كۆرسىتىش, كۆرسەتكۈچ بارماق
🖕	ئوتتۇرا بارماق, بارماق, قول
👇️	ئارقىچە ئاستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق, ئاستى, بارماق, قول, قولنىڭ ئارقىسى, كۆرسىتىش, كۆرسەتكۈچ بارماق
☝️	ئۈستى, ئۈستىنى كۆرسەتكەن كۆرسەتكۈچ بارماق, بارماق, قول, كۆرسىتىش, كۆرسەتكۈچ بارماق
👍️	+1, ئۈستى, باش بارما, قول, قوللاش
👎️	-1, ئاستى, باش بارماق, قول, پۇتلاش
✊	تۈگكەن, تەستەك, قول, كۆتۈرگەن مۇشت, مۇشت
👊	تۈگكەن, تەستەك, قول, كەلگەن مۇشت, مۇشت
🤛	سول مۇشت, سولغا, مۇشت
🤜	ئوڭ مۇشت, ئوڭغا, مۇشت
👏	قول, چاۋاك
🙌	ئىشارە, ئۇررا, تەبرىكلەش, قول, قول كۆتۈرۈش, كۆتۈرۈش
👐	ئوچۇق, ئوچۇق قول, قول
🤲	ئوچۇم, دۇئا
🤝	ئۇچرىشىش, قوشۇلۇش, قول, قول ئېلىشىش, قول قىسىش
🙏	ئىشارە, ئېگىش, ئېگىلىش, دۇئا, رەھمەت, سوراش, قول, قوۋۇشقان قول, مەرھەمەت
✍️	قول, يېزىش, يېزىۋاتقان قول
💅	ئاسراش, تىرناق, تىرناق ئېلىش, تىرناق بوياش, خېنە, گىرىم
🤳	ئۆزتارتىم, تېلېفون, كامېرا
💪	ئېگىش, ئېگىلگەن بىلەك, بىلەك, كۈلكىلىك, مۇسكۇل
👂️	قۇلاق, گەۋدە
👃	بۇرۇن, گەۋدە
🧠	ئەقىللىق, مېڭە
👀	كۆز, كۆزلەر, چىراي
👁️	كۆز, گەۋدە
👅	تىل, گەۋدە
👄	ئېغىز, لەۋ
👶	بوۋاق, ياش
🧒	بالا, جىنسسىز, ياش
👦	ئوغۇل, ياش
👧	قىز, قىزچاق, مۆچەل
🧑	جىنىسسىز, چوڭلار
👱	ئالتۇن چاچ, ئالتۇن چاچ كىشى
👨	ئەر
🧔	ساقال, ساقاللىق كىشى
👱‍♂	ئالتۇن چاچ, ئالتۇن چاچ ئەر, ئەر
👩	ئايال
👱‍♀	ئالتۇن چاچ, ئالتۇن چاچ ئايال, ئايال
🧓	جىنىسسىز, قېرى, قېرىلار
👴	ئەر, بوۋاي, قېرى
👵	ئايال, قېرى, موماي
🙍	ئشارە, قوشۇما, قوشۇمىسىنى تۈرگەن كىشى
🙍‍♂	ئىشارە, ئەر, قوشۇما, قوشۇمىسىنى تۈرگەن ئەر
🙍‍♀	ئايال, ئىشارە, قوشۇما, قوشۇمىسىنى تۈرگەن ئايال
🙎	ئىشارە, ھومايغان كىشى, ھومىيىش
🙎‍♂	ئىشارە, ئەر, ھومايغان ئەر, ھومىيىش
🙎‍♀	ئايال, ئىشارە, ھومايغان ئايال, ھومىيىش
🙅	ئىشارە, ئەمەس, توسۇش, قول, ياق, ياق دەپ ئىشارە قىلغان كىشى, چەكلەنگەن
🙅‍♂	ئىشارە, ئەر, ئەمەس, توسۇش, قول, ياق, ياق دەپ ئىشارە قىلغان ئەر, چەكلەنگەن
🙅‍♀	ئايال, ئىشارە, ئەمەس, توسۇش, قول, ياق, ياق دەپ ئىشارە قىلغان ئايال, چەكلەنگەن
🙆	ئىشارە, قول, ماقۇل, ماقۇل دەپ ئىشارە قىلغان كىشى
🙆‍♂	ئىشارە, ئەر, قول, ماقۇل, ماقۇل دەپ ئىشارە قىلغان ئەر
🙆‍♀	ئايال, ئىشارە, قول, ماقۇل, ماقۇل دەپ ئىشارە قىلغان ئايال
💁	ئۇچۇر, تاپان ھەققى, تاپان ھەققى بەرگەن كىشى, قول, قوپال, ياردەم
💁‍♂	ئەر, تاپان ھەققى, تاپان ھەققى بەرگەن ئەر, قوپال
💁‍♀	ئايال, تاپان ھەققى بەرگەن ئايال, تاپان ھەققى بەرگەن قول, قوپال
🙋	ئىشارە, خۇشال, قول, قول كۆتۈرگەن كىشى, كۆتۈرۈش
🙋‍♂	ئىشارە, ئەر, قول كۆتۈرگەن ئەر, قول كۆتۈرۈش
🙋‍♀	ئايال, ئىشارە, قول كۆتۈرگەن ئايال, قول كۆتۈرۈش
🙇	ئىشارە, ئۆزۈر, ئېگىلىش, ئېگىلگەن كىشى, كەچۈرۈڭ
🙇‍♂	ئىشارە, ئۆتۈنۈش, ئۆزۈر, ئېگىلىش, ئېگىلگەن ئەر, ئەر, كەچۈرۈڭ
🙇‍♀	ئايال, ئىشارە, ئۆتۈنۈش, ئۆزۈر, ئېگىلىش, ئېگىلگەن ئايال, كەچۈرۈڭ
🤦	ئىشەنچسىز, تۇتۇش, يامان, يۈزىنى تۇتقان كىشى, چىراي
🤦‍♂	ئىشەنچسىز, ئەر, يامان, يۈزىنى تۇتش, يۈزىنى تۇتقان ئەر
🤦‍♀	ئايال, ئىشەنچسىز, يامان, يۈزىنى تۇتش, يۈزىنى تۇتقان ئايال
🤷	سوغۇق, قىسىش, قىسىلغان كىشى, پەرۋاسىز, گۇمان
🤷‍♂	ئەر, سوغۇق, قىسىش, قىسىلغان ئەر, پەرۋاسىز, گۇمان
🤷‍♀	ئايال, سوغۇق, قىسىش, قىسىلغان ئايال, پەرۋاسىز, گۇمان
👨‍⚕	ئەر, ئەمچى, دوختۇر, ساغلاملىق خىزمەتچىسى, ساغلاملىق خىزمەتچىسى ئەر, سىستېرا
👩‍⚕	ئايال, ئەمچى, دوختۇر, ساغلاملىق خىزمەتچىسى, ساغلاملىق خىزمەتچىسى ئايال, سىستېرا
👨‍🎓	ئوغۇل, ئوغۇل ئوقۇغۇچى, ئوقۇش پۈتتۈرۈش, ئوقۇغۇچى
👩‍🎓	ئوقۇش پۈتتۈرۈش, ئوقۇغۇچى, قىز, قىز ئوقۇغۇچى
👨‍🏫	ئوقۇتقۇچى, ئەر, ئەر ئوقۇتقۇچى, مۇئەللىم, پىروفېسسور
👩‍🏫	ئايال, ئايال ئوقۇتقۇچى, ئوقۇتقۇچى, مۇئەللىم, پىروفېسسور
👨‍⚖	ئۆلچەم, ئەر, ئەر سوتچى, سوت
👩‍⚖	ئايال, ئايال سوتچى, ئۆلچەم, سوت
👨‍🌾	ئەر, ئەر دېھقان, باغۋەن, تېرىقچى, دېھقان
👩‍🌾	ئايال, ئايال دېھقان, باغۋەن, تېرىقچى, دېھقان
👨‍🍳	ئاش, ئاشپەز, ئەر, ئەر ئاشپەز
👩‍🍳	ئاش, ئاشپەز, ئايال, ئايال ئاشپەز
👨‍🔧	ئەر, ئەر رېمونتچى, توكچى, تۇرۇبا ئىشچىسى, رېمونتچى, سودىگەر
👩‍🔧	ئايال, ئايال رېمونتچى, توكچى, تۇرۇبا ئىشچىسى, رېمونتچى, سودىگەر
👨‍🏭	ئىشچى, ئەر, ئەر زاۋۇت ئىشچىسى, زاۋۇت, سانائەت, قوراشتۇرۇش
👩‍🏭	ئايال, ئايال زاۋۇت ئىشچىسى, ئىشچى, زاۋۇت, سانائەت, قوراشتۇرۇش
👨‍💼	ئىشخانا, ئىشخانا خىزمەتچىسى, ئىشخانا خىزمەتچىسى ئەر, ئەر, باشقۇرغۇچى, سودا, لايىھەلىگۈچى
👩‍💼	ئايال, ئىشخانا, ئىشخانا خىزمەتچىسى, ئىشخانا خىزمەتچىسى ئايال, باشقۇرغۇچى, سودا, لايىھەلىگۈچى
👨‍🔬	ئالىم, ئىنژىنېر, ئەر, ئەر ئالىم, بىيولوگ, خىمىك, فىزىك, ماتېماتىك
👩‍🔬	ئالىم, ئايال, ئايال ئالىم, ئىنژىنېر, بىيولوگ, خىمىك, فىزىك, ماتېماتىك
👨‍💻	ئاچقۇچى, ئىجادچى, ئەر, ئەر تېخنىك, تېخنىك, يۇمشاق دېتال, پىروگراممېر
👩‍💻	ئايال, ئايال تېخنىك, ئاچقۇچى, ئىجادچى, تېخنىك, يۇمشاق دېتال, پىروگراممېر
👨‍🎤	ئەر, ئەر ناخشىچى, داڭلىق, سەنئەتكار, كۆڭۈل ئېچىش, ناخشىچى, چولپان
👩‍🎤	ئايال, ئايال ناخشىچى, داڭلىق, سەنئەتكار, كۆڭۈل ئېچىش, ناخشىچى, چولپان
👨‍🎨	ئەر, ئەر سەنئەتكار, رەڭ تاختىسى, سەنئەتكار
👩‍🎨	ئايال, ئايال سەنئەتكار, بوياق تاختىسى, سەنئەتكار
👨‍✈	ئايروپىلان, ئۇچقۇچى, ئەر, ئەر ئۇچقۇچى
👩‍✈	ئايال, ئايال ئۇچقۇچى, ئايروپىلان, ئۇچقۇچى
👨‍🚀	ئالەم ئۇچقۇچىسى, ئەر, ئەر ئالەم ئۇچقۇچىسى, راكىتا
👩‍🚀	ئالەم ئۇچقۇچىسى, ئالەم ئۇچقۇچىسى ئايال, ئايال, راكىتا
👨‍🚒	ئوت ئۆچۈرگۈچى, ئوت ئۆچۈرگۈچى ئەر, ئوت ئۆچۈرۈش ماشىنىسى, ئەر
👩‍🚒	ئايال, ئايال ئوت ئۆچۈرگۈچى, ئوت ئۆچۈرۈش, ئوت ئۆچۈرۈش ماشىنىسى
👮	ئوفىتسېر, ج خ, ساقچى
👮‍♂	ئوفىتسېر, ئەر, ئەر ساقچى, ج خ, ساقچى
👮‍♀	ئايال, ئايال ساقچى, ئوفىتسېر, ج خ, ساقچى
🕵️	جاسۇس, رازۋېدچىك, چارلىغۇچى
🕵‍♂	ئەر, ئەر رازۋېدچىك, جاسۇس, رازۋېدچىك, چارلىغۇچى
🕵‍♀	ئايال, ئايال رازۋېدچىك, جاسۇس, رازۋېدچىك, چارلىغۇچى
💂	قاراۋۇل
💂‍♂	ئەر, ئەر قاراۋۇل, قاراۋۇل
💂‍♀	ئايال, ئايال قاراۋۇل, قاراۋۇل
👷	ئىشچى, قالپاق, قۇرۇلۇشچى
👷‍♂	ئىشچى, ئەر, قۇرۇلۇش, قۇرۇلۇش ئىشچىسى ئەر
👷‍♀	ئايال, ئىشچى, قۇرۇلۇش, قۇرۇلۇش ئىشچىسى ئايال
🤴	شاھزادە
👸	فانتازىيە, مەلىكە, چۆچەك
👳	سەللىلىك كىشى, سەللە
👳‍♂	ئەر, سەللىلىك ئەر, سەللە
👳‍♀	ئايال, سەللىلىك ئايال, سەللە
👲	تۇماق, جۇڭگوچە تۇماق كىيگەن ئەر, قالپاق, موزا
🧕	تىچەل, مانتىللا, ياغلىق, ياغلىقلىق ئايال, ھىجاب
🤵	ئەر, تاكسىدولۇق ئەر, مۇراسىم كىيىمى, يىگىت
👰	توي, كېلىنچەك, چۈمبەل, چۈمبەللىك كېلىن
🤰	ئايال, ھامىلدار, ھامىلدار ئايال
🤱	ئېمىش, ئەمچەك, بوۋاق, بېقىش
👼	بوۋاق پەرىشتە, بوۋاق چۆچەك, فانتازىيە, پەرىشتە, چىراي
🎅	بوۋاي, تەبرىكلەش, مىلاد, مىلاد بوۋاي, نورۇز
🤶	بايرام, تەبرىكلەش, مىلاد, مىلاد موماي
🧙	جادۇ, جادۇگەر, سھېرى, سېھرىگەر
🧙‍♂	ئەر سېھرىگەر, جادۇگەر, سېھرىگەر
🧙‍♀	ئايال سېھرىگەر, داخان, سېھرىگەر
🧚	ئوبېرون, ئەرۋاھ, تىتانىيە, مۇزتوپ
🧚‍♂	ئوبېرون, ئەر ئەرۋاھ, مۇزتوپ
🧚‍♀	ئايال ئەرۋاھ, تىتانىيە
🧛	دراكۇلا, قانخور مۇردا, مۇردا
🧛‍♂	ئەر مۇردا, دراكۇلا, مۇردا
🧛‍♀	ئايال مۇردا, مۇردا
🧜	بېلقىز, بېلىق ئادەم, سۇ پەرىسى, سۇپەرىسى
🧜‍♂	بېلىق ئەر, ترىتون
🧜‍♀	بېلىق قىز, سۇ پەرىسى
🧝	سېھرىي, پىر
🧝‍♂	ئەر پىر, سېھرىي
🧝‍♀	ئايال پىر, سېھرىي
🧞	جىن, شاياتۇن
🧞‍♂	ئەر جىن, جىن
🧞‍♀	ئايال جىن, جىن
🧟	تىرىك مۇردا, زومبى, مۇردا
🧟‍♂	ئەر زومبى, تىرىك مۇردا, مۇردا
🧟‍♀	ئايال زومبى, تىرىك مۇردا, مۇردا
💆	ئۇۋىلانغان كىشى, ئۇۋۇلاش, سالون, چىراي
💆‍♂	ئۇۋىلاش, ئۇۋىلانغان ئەر, ئەر, چىراي
💆‍♀	ئايال, ئۇۋىلاش, ئۇۋىلانغان ئايال, چىراي
💇	دۇكان, ساتراچ, چاچ ياساتقان كىشى, چاچ ياساش, گۈزەل
💇‍♂	ئەر, چاچ ياساتقان ئەر, چاچ ياساش
💇‍♀	ئايال, چاچ ياساتقان ئايال, چاچ ياساش
🚶	ماڭ, ماڭغان كىشى, مېڭىش, يۈرۈش
🚶‍♂	ئەر, ماڭغان ئەر, مېڭىش, يۈرۈش
🚶‍♀	ئايال, ماڭغان ئايال, مېڭىش, يۈرۈش
🏃	مارافون, يۈگۈرگەن كىشى, يۈگۈرۈش
🏃‍♂	ئەر, مارافون, مۇسابىقە, يۈگۈرگەن ئەر, يۈگۈرۈش
🏃‍♀	ئايال, مارافون, مۇسابىقە, يۈگۈرگەن ئايال, يۈگۈرۈش
💃	ئايال, ئۇسسۇل, ئۇسسۇل ئويناۋاتقان ئايال
🕺	ئۇسسۇل ئويناۋاتقان ئەر, ئۇسۇل, ئەر
🕴️	سودا, كاستۇم, كاستۇملۇق ئەر, مەن
👯	ئۇزۇن قۇلاق, ئۇسسۇلچى, سورۇن, سورۇندىكى ئۇزۇن قۇلاق كىشىلەر
👯‍♂	ئۇزۇن قۇلاق, ئۇسسۇلچى, ئەر, سورۇن, سورۇندىكى ئۇزۇن قۇلاق ئۇسسۇلچى ئەر
👯‍♀	ئايال, ئۇزۇن قۇلاق, ئۇسسۇلچى, سورۇن, سورۇندىكى ئۇزۇن قۇلاق ئۇسسۇلچى ئايال
🧖	ھور ئۆيى, ھورداق, ھورداقتىكى كىشى
🧖‍♂	ھور ئۆيى, ھورداق, ھورداقتىكى ئەر
🧖‍♀	ھور ئۆيى, ھورداق, ھورداقتىكى ئايال
🧗	ياماشقان كىشى, ياماشقۇچى
🧗‍♂	ياماشقان ئەر, ياماشقۇچى
🧗‍♀	ياماشقان ئايال, ياماشقۇچى
